sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
41048,KY,16,NJ8401,1350,"$1,314.44 ",3
41048,KY,29,MN56031,893,$364.73 ,3
41048,KY,8,GA30349,1089,$415.87 ,3
41048,KY,39,IL60642,2911,$639.22 ,3
41048,KY,4,OH44460,3303,$524.61 ,3
41048,KY,47,OH44145,2238,$387.23 ,3
41048,KY,9,OH44145,4027,$665.93 ,3
41048,KY,51,OH44460,5449,$698.56 ,3
41048,KY,50,OH44460,2756,$481.36 ,3
41048,KY,49,OH44460,3331,$543.13 ,3
41048,KY,47,OH44460,2487,$451.37 ,3
41048,KY,41,OH44460,1539,$339.78 ,3
41048,KY,32,GA30005,1698,$443.48 ,3
41048,KY,1,WI53209,822,$335.14 ,3
53142,WI,7,FL33025,5935,"$4,460.53 ",3
53142,WI,6,FL33025,6713,"$4,345.03 ",3
41048,KY,44,AZ85338,1217,"$1,146.06 ",3
41048,KY,41,AZ85338,1438,$947.10 ,3
41048,KY,31,AZ85338,830,$751.49 ,3
41048,KY,30,AZ85338,3805,"$1,651.47 ",3
53142,WI,19,KY41048,2352,$600.86 ,3
53142,WI,11,KY41048,3230,$603.22 ,3
53142,WI,7,KY41048,2764,$494.64 ,3
53142,WI,6,KY41048,4918,"$1,198.32 ",3
78501,TX,8,KY41048,10666,"$3,296.95 ",3
41048,KY,14,MI49423,3513,$822.02 ,3
41048,KY,35,MN55437,2536,$901.50 ,3
41048,KY,32,MN55379,871,$393.00 ,3
41048,KY,44,MN55344,353,$309.60 ,3
41048,KY,26,MN55344,512,$419.50 ,3
41048,KY,28,OH43125,1997,$353.60 ,3
41048,KY,13,NY13413,3894,$918.33 ,3
17601,PA,37,KY41048,1946,$578.02 ,3
17601,PA,28,KY41048,2951,$618.11 ,3
41048,KY,12,AZ85338,2573,"$1,409.27 ",3
41048,KY,50,AZ85284,2781,"$1,391.26 ",3
41048,KY,23,AZ85284,4683,"$3,303.12 ",3
41048,KY,30,CA91020,730,"$1,311.61 ",3
78501,TX,17,KY41048,4592,"$1,829.57 ",3
41048,KY,50,IN46738,845,$308.40 ,3
41048,KY,52,KY41048,1495,$285.71 ,3
41048,KY,51,KY41048,2892,$314.00 ,3
41048,KY,50,KY41048,3514,$361.69 ,3
41048,KY,45,KY41048,3101,$323.03 ,3
41048,KY,40,KY41048,1187,$275.49 ,3
41048,KY,27,KY41048,1040,$275.10 ,3
41048,KY,50,MI48084,2706,$484.15 ,3
41048,KY,35,MI49512,466,$312.00 ,3
41048,KY,28,AZ85338,2830,"$1,414.03 ",3
78501,TX,9,TX78521,9070,$710.54 ,3
78501,TX,8,TX78521,2842,$368.01 ,3
78501,TX,7,TX78521,4161,$430.77 ,3
78501,TX,4,TX78521,6446,$603.75 ,3
41048,KY,32,IN46738,1074,$353.73 ,3
41048,KY,31,IN46738,673,$314.40 ,3
41048,KY,25,IN46738,5919,$779.05 ,3
41048,KY,52,IL60642,2205,$536.66 ,3
41048,KY,51,IL60642,1808,$479.94 ,3
41048,KY,50,IL60642,1374,$429.90 ,3
41048,KY,46,IL60642,1657,$435.10 ,3
41048,KY,31,MD21224,1554,$621.22 ,3
41048,KY,12,IN46818,1531,$359.72 ,3
41048,KY,11,IN46818,2164,$382.00 ,3
78501,TX,4,KY41048,2499,"$1,073.40 ",3
54942,WI,50,TX78521,2586,"$1,678.42 ",3
54942,WI,46,TX78521,3690,"$2,305.67 ",3
54942,WI,36,TX78521,4967,"$2,883.22 ",3
54942,WI,28,TX78521,3295,"$2,615.66 ",3
78501,TX,3,TX78521,7018,$554.39 ,3
78501,TX,13,TX78045,2812,$514.57 ,3
78501,TX,47,KY41048,11040,"$3,354.87 ",3
43125,OH,19,FL33025,979,"$1,252.95 ",3
54942,WI,17,KY41048,7411,"$1,791.06 ",3
54942,WI,2,KY41048,4270,$725.04 ,3
78501,TX,26,TX78521,4085,$451.16 ,3
41048,KY,45,IN46738,1084,$318.54 ,3
41048,KY,17,LA71111,1529,$540.96 ,3
41048,KY,36,IN46738,634,$312.00 ,3
41048,KY,27,AZ85034,789,"$1,543.18 ",3
41048,KY,29,AL35405,486,$542.34 ,3
78501,TX,36,TX78521,1384,$337.39 ,3
78501,TX,31,TX78521,4376,$373.59 ,3
54942,WI,1,TX78521,1740,"$1,423.00 ",3
54942,WI,51,TX78521,3287,"$2,039.71 ",3
89423,NV,13,KY41048,2563,"$2,122.67 ",3
33172,FL,21,KY41048,1782,$653.45 ,3
38133,TN,40,KY41048,840,$346.07 ,3
78501,TX,52,TX78521,9037,$642.74 ,3
41048,KY,39,IN46168,2124,$377.59 ,3
41048,KY,19,IN46168,2215,$451.12 ,3
41048,KY,44,IL62025,4455,$580.54 ,3
41048,KY,13,ME4102,840,$679.39 ,3
41048,KY,43,MD21224,788,$621.95 ,3
78501,TX,18,TX78521,4277,$450.13 ,3
78501,TX,15,TX78521,5281,$509.74 ,3
78501,TX,46,TX78521,6039,$508.14 ,3
41048,KY,45,NC27713,4256,$876.57 ,3
41048,KY,32,NC27703,704,$380.12 ,3
41048,KY,16,NC27703,642,$374.78 ,3
41048,KY,47,NM87505,1416,"$1,195.90 ",3
41048,KY,47,IL60133,1581,$376.40 ,3
41048,KY,27,IL60133,1919,$515.13 ,3
41048,KY,21,IL60133,1045,$494.14 ,3
41048,KY,38,IL60173,1071,$326.37 ,3
41048,KY,30,IL60169,2219,$457.19 ,3
41048,KY,14,IL60143,1004,$322.36 ,3
41048,KY,18,NC27409,1552,$501.42 ,3
41048,KY,24,NC27215,628,$377.22 ,3
41048,KY,23,NC27215,3759,$753.02 ,3
41048,KY,45,IL61602,445,$309.60 ,3
41048,KY,37,IL60561,1820,$512.77 ,3
41048,KY,50,IL60173,2303,$434.73 ,3
37813,TN,4,KY41048,866,$417.52 ,3
37122,TN,38,KY41048,949,$523.43 ,3
33309,FL,43,KY41048,1882,$644.23 ,3
30542,GA,44,TX78521,2678,$984.68 ,3
54942,WI,9,TX78521,5236,"$3,840.37 ",3
37122,TN,20,KY41048,2418,$865.16 ,3
37122,TN,16,KY41048,1482,$447.52 ,3
37122,TN,13,KY41048,2510,$721.06 ,3
37122,TN,3,KY41048,1291,$486.03 ,3
30071,GA,32,KY41048,687,$374.82 ,3
41048,KY,13,IL60133,2069,$765.07 ,3
41048,KY,12,IL60133,1763,$451.94 ,3
41048,KY,4,IL60133,3368,$561.06 ,3
41048,KY,41,IL60084,1088,$316.52 ,3
41048,KY,33,IL60084,3341,$629.31 ,3
41048,KY,50,IL60133,2411,$484.52 ,3
32809,FL,41,KY41048,4753,"$1,186.30 ",3
32809,FL,39,KY41048,2475,$749.09 ,3
32809,FL,5,KY41048,4426,"$1,164.90 ",3
79936,TX,50,KY41048,5583,"$2,261.40 ",3
79936,TX,49,KY41048,1659,$853.16 ,3
79936,TX,44,KY41048,2795,"$1,495.62 ",3
75074,TX,28,KY41048,1769,$633.49 ,3
N8W0A7,ON,49,BCV2X8G1,1687,"$1,373.38 ",3
41048,KY,28,WA98032,4102,"$2,247.73 ",3
41048,KY,18,VA22030,1084,$533.03 ,3
41048,KY,40,WA98052,962,"$1,045.88 ",3
41048,KY,36,WA98052,2387,"$1,592.57 ",3
41048,KY,1,NJ8701,5128,"$1,054.75 ",3
41048,KY,19,NC28645,704,$396.93 ,3
41048,KY,4,WI53142,8222,"$1,279.88 ",3
37813,TN,20,KY41048,5825,$775.41 ,3
N8W0A7,ON,25,ONL0S1J0,721,$682.86 ,3
N8W0A7,ON,37,ONK7L2V7,456,$551.36 ,3
N8W0A7,ON,28,ONK7L2V7,978,$622.02 ,3
N8W0A7,ON,46,BCV2X8G1,633,"$1,317.15 ",3
N8W0A7,ON,52,MBR3H0L3,822,"$1,062.07 ",3
79936,TX,24,KY41048,3232,"$1,307.07 ",3
79936,TX,23,KY41048,3920,"$1,646.48 ",3
79936,TX,20,KY41048,3218,"$1,388.79 ",3
79936,TX,10,KY41048,3022,"$1,353.30 ",3
79936,TX,8,KY41048,4118,"$1,696.01 ",3
79936,TX,4,KY41048,5238,"$2,017.79 ",3
N8W0A7,ON,48,MBR3H0L3,701,$921.78 ,3
N8W0A7,ON,37,MBR3H0L3,707,"$1,101.91 ",3
30071,GA,17,KY41048,1434,$523.62 ,3
30071,GA,10,KY41048,675,$359.45 ,3
37122,TN,41,KY41048,2275,$584.02 ,3
N8W0A7,ON,3,ONL3R4H9,2275,$748.09 ,3
N8W0A7,ON,45,ONL3R4H9,749,$598.73 ,3
N8W0A7,ON,16,ONL3S3J1,881,$550.14 ,3
75006,TX,10,KY41048,2020,$768.99 ,3
N8W0A7,ON,12,ONL3S3J1,2901,$914.27 ,3
N8W0A7,ON,5,ONL3S3J1,804,$622.93 ,3
N8W0A7,ON,3,ONL3S3J1,817,$619.94 ,3
N8W0A7,ON,45,ONL3R9X4,332,$539.32 ,3
41048,KY,48,NV89030,3530,"$1,718.29 ",3
N8W0A7,ON,4,MBR3H0L3,1746,"$1,409.04 ",3
N8W0A7,ON,25,ONK7L2V7,289,$428.35 ,3
N8W0A7,ON,21,ONK1T3T8,2544,$690.61 ,3
N8W0A7,ON,22,ONK0K2T0,908,"$1,018.85 ",3
N8W0A7,ON,39,ONK0B1L0,4570,"$2,970.25 ",3
N8W0A7,ON,44,ONL0S1J0,719,$602.17 ,3
N8W0A7,ON,28,ONL0S1J0,621,$698.18 ,3
41048,KY,45,NY10509,1878,$586.34 ,3
38133,TN,47,KY41048,7937,"$1,372.79 ",3
38133,TN,44,KY41048,4154,$791.07 ,3
N8W0A7,ON,50,ONL3S3J1,5229,"$1,301.49 ",3
N8W0A7,ON,48,ONL3S3J1,2852,"$1,052.55 ",3
N8W0A7,ON,46,ONL3S3J1,1220,$540.89 ,3
N8W0A7,ON,43,ONL3S3J1,539,$507.18 ,3
N8W0A7,ON,41,ONL3S3J1,586,$544.40 ,3
N8W0A7,ON,47,ONL6S6H2,1898,$597.52 ,3
41048,KY,36,NV89119,6232,"$2,719.29 ",3
N8W0A7,ON,39,ONL3R9X4,1503,$728.58 ,3
N8W0A7,ON,39,ONL3S3J1,1057,$604.77 ,3
18020,PA,46,KY41048,1063,$499.26 ,3
N8W0A7,ON,29,ONL3S3J1,568,$620.79 ,3
N8W0A7,ON,24,ONL3S3J1,552,$547.40 ,3
N8W0A7,ON,10,ONL3R4H9,932,$504.79 ,3
N8W0A7,ON,51,ONM1P2L6,1008,$587.00 ,3
N8W0A7,ON,11,ONM9W5S6,1177,$626.41 ,3
N8W0A7,ON,33,ONM3B1Y8,1820,$610.60 ,3
N8W0A7,ON,31,ONM3B1Y8,616,$608.07 ,3
N8W0A7,ON,31,ONM9W5S6,696,$609.53 ,3
38133,TN,38,KY41048,6147,"$1,058.94 ",3
38133,TN,34,KY41048,9620,"$1,395.87 ",3
38133,TN,23,KY41048,5919,$987.46 ,3
38133,TN,21,KY41048,5518,$959.63 ,3
18020,PA,28,KY41048,1706,$643.79 ,3
N8W0A7,ON,30,ONM9W5S6,421,$492.36 ,3
N8W0A7,ON,29,ONM9W5S6,1126,$621.17 ,3
41048,KY,52,TN37013,442,$602.28 ,3
41048,KY,49,TX75074,1695,$864.81 ,3
41048,KY,48,TX76137,2019,$862.81 ,3
41048,KY,26,NV89119,5213,"$4,011.57 ",3
41048,KY,3,NY13760,453,$429.04 ,3
N8W0A7,ON,46,PQH4T2A1,1278,$774.23 ,3
N8W0A7,ON,37,PQH4T2A1,593,$648.21 ,3
N8W0A7,ON,35,PQH4T2A1,2417,$986.88 ,3
41048,KY,50,NY13760,550,$612.22 ,3
41048,KY,15,TN37013,2490,$557.13 ,3
41048,KY,14,TN37013,3675,$743.65 ,3
41048,KY,17,NY11385,924,"$1,156.06 ",3
41048,KY,6,NY11385,535,"$1,356.19 ",3
41048,KY,6,NY11237,535,"$1,322.38 ",3
41048,KY,10,NY11050,2484,"$1,366.67 ",3
N8W0A7,ON,22,ONM9W5S6,495,$490.35 ,3
N8W0A7,ON,21,ONM9W5S6,481,$550.95 ,3
N8W0A7,ON,19,ONM9W5S6,708,$554.38 ,3
N8W0A7,ON,13,ONM9W5S6,705,$558.56 ,3
N8W0A7,ON,12,ONM9W5S6,889,$624.41 ,3
53142,WI,25,TX78521,893,$743.66 ,3
41048,KY,52,FL32819,639,$473.56 ,3
41048,KY,22,FL32819,933,$558.09 ,3
53142,WI,44,FL33025,2095,"$1,531.11 ",3
53142,WI,41,FL33025,6224,"$3,627.60 ",3
53142,WI,38,FL33025,2288,"$1,554.34 ",3
53142,WI,35,FL33025,4057,"$2,341.63 ",3
53142,WI,34,FL33025,6756,"$3,461.42 ",3
41048,KY,23,FL33166,360,$481.77 ,3
41048,KY,22,FL33025,11874,"$3,546.09 ",3
41048,KY,14,FL33025,5333,"$2,046.41 ",3
41048,KY,10,FL32822,7885,"$2,406.36 ",3
41048,KY,41,NY13760,1262,"$1,354.07 ",3
41048,KY,33,NY13760,1365,"$1,196.42 ",3
41048,KY,42,OH43206,912,$491.61 ,3
41048,KY,15,NY13760,1275,"$1,376.95 ",3
92801,CA,40,KY41048,2917,"$1,436.46 ",2
1913,MA,41,PA19426,484,$457.50 ,2
1913,MA,26,TX75050,1140,"$1,118.29 ",2
1913,MA,35,TX75050,880,"$1,055.45 ",2
92801,CA,4,KY41048,3740,"$2,318.58 ",2
92801,CA,7,KY41048,3540,"$2,214.40 ",2
92801,CA,13,KY41048,2710,"$1,888.85 ",2
92801,CA,16,KY41048,4200,"$2,437.10 ",2
92801,CA,20,KY41048,2237,"$1,626.68 ",2
92801,CA,25,KY41048,4005,"$2,282.57 ",2
N8W0A7,ON,17,PQH1P2X4,207,$292.21 ,2
N8W0A7,ON,31,PQH1Y0A2,1116,$430.80 ,2
N8W0A7,ON,40,PQH1Y0A2,520,$432.76 ,2
N8W0A7,ON,41,PQH1Z4K6,578,$499.95 ,2
N8W0A7,ON,44,PQH1Z4K6,534,$560.10 ,2
N8W0A7,ON,10,PQH2L4M1,304,$786.17 ,2
N8W0A7,ON,40,PQH3E3B3,609,$578.20 ,2
N8W0A7,ON,19,PQH4N2G7,329,$361.28 ,2
N8W0A7,ON,22,PQH4P1J3,674,$359.28 ,2
N8W0A7,ON,17,PQH4P1M2,284,$438.87 ,2
N8W0A7,ON,37,PQH4R1X1,116,$287.43 ,2
38133,TN,18,KY41048,3504,$651.60 ,2
38133,TN,19,KY41048,3346,$590.74 ,2
N8W0A7,ON,44,PQH4S1L5,626,$422.52 ,2
N8W0A7,ON,49,PQH4S1L5,242,$347.28 ,2
N8W0A7,ON,51,PQH4S1L5,328,$352.68 ,2
41048,KY,12,OK74701,350,$371.04 ,2
41048,KY,26,OK74701,260,$365.69 ,2
41048,KY,10,OK74801,334,$267.55 ,2
41048,KY,36,OR97071,1774,"$1,832.54 ",2
41048,KY,9,OR97218,2520,"$1,495.30 ",2
41048,KY,32,PA15213,321,$444.56 ,2
41048,KY,28,PA16648,586,$394.33 ,2
41048,KY,38,PA17111,1049,$462.41 ,2
41048,KY,40,PA18015,422,$346.80 ,2
41048,KY,19,NY13760,703,$475.32 ,2
41048,KY,25,NY13760,678,$788.84 ,2
41048,KY,29,NY13760,784,$653.17 ,2
41048,KY,39,NY13760,947,"$1,075.09 ",2
41048,KY,51,NY13760,1400,"$1,371.39 ",2
78753,TX,21,KY41048,2336,$791.09 ,2
78753,TX,24,KY41048,1329,$576.83 ,2
41048,KY,31,NY12784,1615,$319.71 ,2
41048,KY,35,NY12784,1572,$308.87 ,2
41048,KY,23,NY13413,1964,$511.78 ,2
41048,KY,7,NY13748,453,$242.84 ,2
41048,KY,2,NY13760,525,$740.39 ,2
41048,KY,4,NY13760,751,$566.36 ,2
41048,KY,9,NY13760,1356,"$1,390.29 ",2
41048,KY,11,NY13760,405,$508.16 ,2
41048,KY,23,PA19083,240,$418.18 ,2
41048,KY,9,PA19107,787,$347.74 ,2
41048,KY,15,NY14623,912,$389.52 ,2
41048,KY,27,OH43035,210,$203.65 ,2
41048,KY,13,OH44131,180,$208.84 ,2
41048,KY,43,OK73127,568,$564.72 ,2
41048,KY,8,OK74012,345,$298.86 ,2
41048,KY,15,OK74116,1195,$430.65 ,2
41048,KY,27,TN37013,972,$339.82 ,2
41048,KY,25,PA18017,2039,$308.21 ,2
41048,KY,37,PA18031,516,$201.50 ,2
41048,KY,1,PA18109,1116,$629.41 ,2
41048,KY,26,PA18109,690,$370.51 ,2
41048,KY,40,PA18109,521,$416.83 ,2
41048,KY,44,PA18109,665,$458.49 ,2
41048,KY,50,PA18109,1500,$439.77 ,2
41048,KY,2,PA19050,355,$686.95 ,2
41048,KY,16,PA19061,692,$284.06 ,2
41048,KY,27,PA19061,692,$355.44 ,2
41048,KY,8,PA19082,295,$486.39 ,2
41048,KY,34,NY14150,298,$278.00 ,2
41048,KY,18,NY14206,2103,$446.39 ,2
41048,KY,18,NY11933,1623,"$1,018.34 ",2
41048,KY,34,NY11933,475,$613.96 ,2
41048,KY,8,NY11208,350,$930.30 ,2
41048,KY,8,NY11221,360,$914.38 ,2
41048,KY,13,NY11366,272,$791.71 ,2
41048,KY,30,NY11366,444,"$1,105.98 ",2
41048,KY,47,NY11366,390,"$1,149.88 ",2
41048,KY,8,NY11419,355,"$1,020.65 ",2
41048,KY,6,NY11420,350,$924.40 ,2
41048,KY,8,NY11420,345,$924.95 ,2
41048,KY,9,NY11420,320,$916.68 ,2
41048,KY,43,PA19526,848,$408.97 ,2
41048,KY,44,SC29115,319,$608.82 ,2
41048,KY,41,SD57107,491,$698.19 ,2
41048,KY,1,TN37013,1234,$342.16 ,2
41048,KY,7,TN37013,608,$347.88 ,2
41048,KY,19,TN37013,1900,$382.09 ,2
41048,KY,20,TN37013,1933,$341.12 ,2
41048,KY,9,NY10003,345,$971.34 ,2
41048,KY,10,NY10017,2592,"$1,709.79 ",2
41048,KY,11,NY10017,445,$714.92 ,2
41048,KY,12,NY10017,3243,"$1,567.52 ",2
41048,KY,26,NY10017,2048,"$1,365.27 ",2
41048,KY,32,NY10509,558,$312.24 ,2
41048,KY,43,NY10509,605,$244.96 ,2
41048,KY,12,TX75074,417,$321.25 ,2
41048,KY,33,TN37013,1922,$352.88 ,2
41048,KY,34,TN37013,331,$337.48 ,2
41048,KY,36,TN37013,847,$335.92 ,2
41048,KY,37,TN37013,720,$334.88 ,2
41048,KY,41,TN37013,677,$442.43 ,2
41048,KY,16,NY13760,429,$491.56 ,2
41048,KY,18,NY13760,538,$598.68 ,2
41048,KY,40,NY11050,1286,$726.79 ,2
41048,KY,37,TX75482,532,$263.29 ,2
41048,KY,9,TX75701,1326,$559.22 ,2
41048,KY,14,TX75701,1285,$442.70 ,2
41048,KY,20,TX75701,809,$350.41 ,2
41048,KY,27,TX75701,1294,$434.46 ,2
41048,KY,35,TN38104,553,$336.70 ,2
41048,KY,39,TN38104,283,$334.10 ,2
41048,KY,43,TX75063,1148,$498.50 ,2
41048,KY,10,TX75067,2065,$677.50 ,2
41048,KY,28,TX75071,219,$264.02 ,2
41048,KY,32,TX75071,1011,$403.64 ,2
41048,KY,9,TX75074,1534,$549.01 ,2
41048,KY,12,NY11779,789,$931.17 ,2
41048,KY,51,NY11779,295,$518.11 ,2
41048,KY,46,NV89119,2499,$964.17 ,2
41048,KY,49,NV89119,5584,"$2,684.71 ",2
41048,KY,16,NV89118,615,$673.67 ,2
41048,KY,8,NV89119,5715,"$2,347.99 ",2
41048,KY,20,NV89119,3251,"$1,822.40 ",2
41048,KY,21,NV89119,3505,"$1,511.19 ",2
41048,KY,24,NV89119,3284,"$1,766.75 ",2
41048,KY,27,NV89119,221,$573.76 ,2
41048,KY,30,TX77041,749,$355.73 ,2
41048,KY,18,TX75074,1483,$552.32 ,2
41048,KY,25,TX75074,361,$261.38 ,2
41048,KY,32,TX75074,803,$355.19 ,2
41048,KY,44,TX75074,6010,"$1,556.87 ",2
41048,KY,51,TX75074,965,$397.99 ,2
41048,KY,52,TX75169,695,$563.24 ,2
41048,KY,47,TX75214,439,$498.61 ,2
41048,KY,19,TX75234,360,$265.64 ,2
41048,KY,40,TX75460,300,$721.54 ,2
41048,KY,31,TX75701,1296,$435.01 ,2
41048,KY,47,TX75701,1277,$972.56 ,2
41048,KY,4,TX75702,210,$625.74 ,2
41048,KY,34,TX76051,649,$322.21 ,2
41048,KY,35,TX76051,976,$389.63 ,2
41048,KY,29,TX76114,524,$450.64 ,2
41048,KY,12,TX76137,483,$278.63 ,2
41048,KY,18,TX76137,12848,"$1,715.57 ",2
41048,KY,19,TX76137,684,$316.66 ,2
41048,KY,21,TX76137,12376,"$2,134.35 ",2
41048,KY,23,TX76137,1396,$495.08 ,2
41048,KY,27,TX76137,3442,"$1,051.63 ",2
41048,KY,37,TX76137,3429,"$1,079.72 ",2
41048,KY,30,NY10601,753,$515.32 ,2
41048,KY,35,NV89109,1467,$878.72 ,2
41048,KY,37,NV89109,1447,$981.74 ,2
41048,KY,14,VA24012,2856,$615.31 ,2
41048,KY,19,VA24501,730,$426.26 ,2
41048,KY,31,TX77041,1203,$450.95 ,2
41048,KY,10,TX77043,1094,$424.05 ,2
41048,KY,24,TX77320,240,$259.78 ,2
41048,KY,19,TX77340,580,$301.06 ,2
41048,KY,21,TX77340,285,$295.20 ,2
41048,KY,14,TX77478,1256,$523.26 ,2
41048,KY,19,TX77523,172,$264.62 ,2
41048,KY,8,TX78045,1490,$668.95 ,2
41048,KY,30,TX78045,3345,"$1,242.38 ",2
41048,KY,43,TX78521,1366,$721.10 ,2
41048,KY,9,TX78666,764,$375.94 ,2
41048,KY,33,NV89119,2447,"$1,634.55 ",2
41048,KY,13,TX78703,790,$350.83 ,2
41048,KY,17,TX78703,1481,$753.56 ,2
41048,KY,35,WA98052,484,$758.65 ,2
41048,KY,39,WA98052,1709,"$1,048.54 ",2
41048,KY,11,WA98072,4975,"$2,521.65 ",2
41048,KY,15,WA98072,2772,"$2,027.80 ",2
41048,KY,29,TX78703,948,$624.29 ,2
41048,KY,36,TX78724,571,$443.76 ,2
41048,KY,31,TX78753,1328,$692.72 ,2
41048,KY,18,TX79925,858,$463.59 ,2
41048,KY,27,TX79927,964,$496.98 ,2
41048,KY,3,TX79928,329,$382.02 ,2
41048,KY,13,UT84606,348,$780.33 ,2
41048,KY,25,VA20166,2883,$443.93 ,2
41048,KY,31,VA20166,497,$470.80 ,2
41048,KY,35,VA22201,1622,$759.53 ,2
41048,KY,42,VA23005,880,$333.34 ,2
41048,KY,30,VA23231,180,$275.56 ,2
41048,KY,49,NC28607,986,$276.83 ,2
41048,KY,16,NC28640,269,$267.55 ,2
41048,KY,35,NJ07111,2526,"$1,194.17 ",2
41048,KY,33,NJ7054,1623,$391.14 ,2
41048,KY,52,NJ7054,3822,$878.82 ,2
41048,KY,51,NJ7075,1785,"$1,268.04 ",2
41048,KY,26,NJ7094,2419,$392.47 ,2
41048,KY,2,NJ8701,2918,$647.04 ,2
41048,KY,24,IL60069,599,$208.80 ,2
41048,KY,21,IL60084,523,$210.40 ,2
41048,KY,4,WA98052,5110,"$2,654.16 ",2
41048,KY,12,WA98052,310,$853.92 ,2
41048,KY,19,WA98052,1467,"$1,031.04 ",2
41048,KY,26,WA98052,427,$612.41 ,2
41048,KY,29,WA98052,1269,$907.90 ,2
41048,KY,30,WA98052,756,$654.55 ,2
41048,KY,16,WA98072,3032,"$4,248.43 ",2
41048,KY,39,WA98072,827,$926.48 ,2
41048,KY,43,WA98072,5083,"$3,227.12 ",2
41048,KY,32,WA98387,588,$861.93 ,2
41048,KY,33,WA98387,1049,"$1,064.52 ",2
41048,KY,32,WA99202,879,$656.92 ,2
41048,KY,9,WI54022,3582,$700.30 ,2
